date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:49:10	167757/167757	---M--	200	added ('OK')	image/png	etag:%226229c56e-28f4d%22	https://templates.hibootstrap.com/naon/default/assets/images/tracking-order-img.png	C:/xampp/htdocs/online-shopping-system/beautyshop/beautyshop/templates.hibootstrap.com/naon/default/assets/images/tracking-order-img.png	(from https://templates.hibootstrap.com/naon/default/tracking-order.html)
22:49:10	35700/35700	---M--	200	added ('OK')	image/png	etag:%226229c56d-8b74%22	https://templates.hibootstrap.com/naon/default/assets/images/customer-services.png	C:/xampp/htdocs/online-shopping-system/beautyshop/beautyshop/templates.hibootstrap.com/naon/default/assets/images/customer-services.png	(from https://templates.hibootstrap.com/naon/default/customer-services.html)
22:49:11	146/146	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2008%20Dec%202022%2017:49:11%20GMT	https://templates.hibootstrap.com/naon/default/myaccount.html	C:/xampp/htdocs/online-shopping-system/beautyshop/beautyshop/templates.hibootstrap.com/naon/default/myaccount.html	(from https://templates.hibootstrap.com/naon/default/my-account.html)
22:49:11	37727/37727	---M--	200	added ('OK')	image/jpeg	etag:%226229c586-9367%22	https://templates.hibootstrap.com/naon/default/assets/images/blog/blog-img7.jpg	C:/xampp/htdocs/online-shopping-system/beautyshop/beautyshop/templates.hibootstrap.com/naon/default/assets/images/blog/blog-img7.jpg	(from https://templates.hibootstrap.com/naon/default/blog.html)
22:49:11	29263/29263	---M--	200	added ('OK')	image/jpeg	etag:%226229c587-724f%22	https://templates.hibootstrap.com/naon/default/assets/images/blog/blog-img8.jpg	C:/xampp/htdocs/online-shopping-system/beautyshop/beautyshop/templates.hibootstrap.com/naon/default/assets/images/blog/blog-img8.jpg	(from https://templates.hibootstrap.com/naon/default/blog.html)
22:49:12	36545/36545	---M--	200	added ('OK')	image/jpeg	etag:%226229c587-8ec1%22	https://templates.hibootstrap.com/naon/default/assets/images/blog/blog-img9.jpg	C:/xampp/htdocs/online-shopping-system/beautyshop/beautyshop/templates.hibootstrap.com/naon/default/assets/images/blog/blog-img9.jpg	(from https://templates.hibootstrap.com/naon/default/blog.html)
22:49:12	146/146	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2008%20Dec%202022%2017:49:12%20GMT	https://templates.hibootstrap.com/naon/default/blog-details.html	C:/xampp/htdocs/online-shopping-system/beautyshop/beautyshop/templates.hibootstrap.com/naon/default/blog-details.html	(from https://templates.hibootstrap.com/naon/default/blog-2.html)
22:49:12	2799/2799	---M--	200	added ('OK')	image/jpeg	etag:%226229c587-aef%22	https://templates.hibootstrap.com/naon/default/assets/images/blog/blog-user.jpg	C:/xampp/htdocs/online-shopping-system/beautyshop/beautyshop/templates.hibootstrap.com/naon/default/assets/images/blog/blog-user.jpg	(from https://templates.hibootstrap.com/naon/default/author.html)
22:49:13	51598/51598	---M--	200	added ('OK')	image/jpeg	etag:%226229c585-c98e%22	https://templates.hibootstrap.com/naon/default/assets/images/blog/blog-details.jpg	C:/xampp/htdocs/online-shopping-system/beautyshop/beautyshop/templates.hibootstrap.com/naon/default/assets/images/blog/blog-details.jpg	(from https://templates.hibootstrap.com/naon/default/single-blog-1.html)
22:49:13	2172/2172	---M--	200	added ('OK')	image/jpeg	etag:%226229c587-87c%22	https://templates.hibootstrap.com/naon/default/assets/images/blog/blog-user2.jpg	C:/xampp/htdocs/online-shopping-system/beautyshop/beautyshop/templates.hibootstrap.com/naon/default/assets/images/blog/blog-user2.jpg	(from https://templates.hibootstrap.com/naon/default/single-blog-1.html)
22:49:13	2362/2362	---M--	200	added ('OK')	image/jpeg	etag:%226229c587-93a%22	https://templates.hibootstrap.com/naon/default/assets/images/blog/blog-user3.jpg	C:/xampp/htdocs/online-shopping-system/beautyshop/beautyshop/templates.hibootstrap.com/naon/default/assets/images/blog/blog-user3.jpg	(from https://templates.hibootstrap.com/naon/default/single-blog-1.html)
22:49:14	61791/61791	---M--	200	added ('OK')	image/jpeg	etag:%226229c585-f15f%22	https://templates.hibootstrap.com/naon/default/assets/images/blog/blog-details3.jpg	C:/xampp/htdocs/online-shopping-system/beautyshop/beautyshop/templates.hibootstrap.com/naon/default/assets/images/blog/blog-details3.jpg	(from https://templates.hibootstrap.com/naon/default/single-blog-3.html)
22:49:14	70774/70774	---M--	200	added ('OK')	image/jpeg	etag:%226229c585-11476%22	https://templates.hibootstrap.com/naon/default/assets/images/blog/blog-details2.jpg	C:/xampp/htdocs/online-shopping-system/beautyshop/beautyshop/templates.hibootstrap.com/naon/default/assets/images/blog/blog-details2.jpg	(from https://templates.hibootstrap.com/naon/default/single-blog-3.html)
22:49:14	146/146	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2008%20Dec%202022%2017:49:14%20GMT	https://templates.hibootstrap.com/naon/default/assets/css/owl.video.play.png	C:/xampp/htdocs/online-shopping-system/beautyshop/beautyshop/templates.hibootstrap.com/naon/default/assets/css/owl.video.play.png	(from https://templates.hibootstrap.com/naon/default/assets/css/owl.carousel.min.css)
22:49:16	403228/403228	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%226229c56b-6271c%22	https://templates.hibootstrap.com/naon/default/assets/fonts/remixicon.eot?t=1590207869815	C:/xampp/htdocs/online-shopping-system/beautyshop/beautyshop/templates.hibootstrap.com/naon/default/assets/fonts/remixicondf6d.eot	(from https://templates.hibootstrap.com/naon/default/assets/fonts/remixicon.css)
22:49:16	125268/125268	---M--	200	added ('OK')	application/octet-stream	etag:%226229c56c-1e954%22	https://templates.hibootstrap.com/naon/default/assets/fonts/remixicon.woff2?t=1590207869815	C:/xampp/htdocs/online-shopping-system/beautyshop/beautyshop/templates.hibootstrap.com/naon/default/assets/fonts/remixicondf6d.woff2	(from https://templates.hibootstrap.com/naon/default/assets/fonts/remixicon.css)
22:49:17	146/146	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2008%20Dec%202022%2017:49:16%20GMT	https://templates.hibootstrap.com/naon/default/assets/fonts/remixicon.svg?t=1590207869815	C:/xampp/htdocs/online-shopping-system/beautyshop/beautyshop/templates.hibootstrap.com/naon/default/assets/fonts/remixicondf6d.svg	(from https://templates.hibootstrap.com/naon/default/assets/fonts/remixicon.css)
22:49:18	11848/11848	---M--	200	added ('OK')	application/octet-stream	etag:%226229c56b-2e48%22	https://templates.hibootstrap.com/naon/default/assets/fonts/flaticon.ttf?a35f16443c2345e25c25746c584f1d99	C:/xampp/htdocs/online-shopping-system/beautyshop/beautyshop/templates.hibootstrap.com/naon/default/assets/fonts/flaticonad67.ttf	(from https://templates.hibootstrap.com/naon/default/assets/fonts/flaticon.css)
22:49:19	403056/403056	---M--	200	added ('OK')	application/octet-stream	etag:%226229c56b-62670%22	https://templates.hibootstrap.com/naon/default/assets/fonts/remixicon.ttf?t=1590207869815	C:/xampp/htdocs/online-shopping-system/beautyshop/beautyshop/templates.hibootstrap.com/naon/default/assets/fonts/remixicondf6d.ttf	(from https://templates.hibootstrap.com/naon/default/assets/fonts/remixicon.css)
22:49:19	7344/7344	---MCZ	200	added ('OK')	application/font-woff	etag:W/%226229c56b-1cb0%22	https://templates.hibootstrap.com/naon/default/assets/fonts/flaticon.woff?a35f16443c2345e25c25746c584f1d99	C:/xampp/htdocs/online-shopping-system/beautyshop/beautyshop/templates.hibootstrap.com/naon/default/assets/fonts/flaticonad67.woff	(from https://templates.hibootstrap.com/naon/default/assets/fonts/flaticon.css)
22:49:20	172876/172876	---MCZ	200	added ('OK')	application/font-woff	etag:W/%226229c56c-2a34c%22	https://templates.hibootstrap.com/naon/default/assets/fonts/remixicon.woff?t=1590207869815	C:/xampp/htdocs/online-shopping-system/beautyshop/beautyshop/templates.hibootstrap.com/naon/default/assets/fonts/remixicondf6d.woff	(from https://templates.hibootstrap.com/naon/default/assets/fonts/remixicon.css)
22:49:24	146/146	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2008%20Dec%202022%2017:49:23%20GMT	https://templates.hibootstrap.com/naon/default/assets/fonts/flaticon.svg?a35f16443c2345e25c25746c584f1d99	C:/xampp/htdocs/online-shopping-system/beautyshop/beautyshop/templates.hibootstrap.com/naon/default/assets/fonts/flaticonad67.svg	(from https://templates.hibootstrap.com/naon/default/assets/fonts/flaticon.css)
22:49:24	6152/6152	---M--	200	added ('OK')	application/octet-stream	etag:%226229c56b-1808%22	https://templates.hibootstrap.com/naon/default/assets/fonts/flaticon.woff2?a35f16443c2345e25c25746c584f1d99	C:/xampp/htdocs/online-shopping-system/beautyshop/beautyshop/templates.hibootstrap.com/naon/default/assets/fonts/flaticonad67.woff2	(from https://templates.hibootstrap.com/naon/default/assets/fonts/flaticon.css)
22:49:27	12016/12016	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%226229c56a-2ef0%22	https://templates.hibootstrap.com/naon/default/assets/fonts/flaticon.eot?a35f16443c2345e25c25746c584f1d99	C:/xampp/htdocs/online-shopping-system/beautyshop/beautyshop/templates.hibootstrap.com/naon/default/assets/fonts/flaticonad67.eot	(from https://templates.hibootstrap.com/naon/default/assets/fonts/flaticon.css)
